DATE,Inflation
1960-01-01,1.8
1960-04-01,1.8
1960-07-01,1.8
1960-10-01,1.8
1961-01-01,1.8
1961-04-01,1.8
1961-07-01,1.8
1961-10-01,1.8
1962-01-01,1.8
1962-04-01,1.8
1962-07-01,1.8
1962-10-01,1.8
1963-01-01,1.8
1963-04-01,1.8
1963-07-01,1.9
1963-10-01,1.9
1964-01-01,1.9
1964-04-01,1.9
1964-07-01,1.9
1964-10-01,1.9
1965-01-01,2
1965-04-01,2
1965-07-01,2
1965-10-01,2
1966-01-01,2
1966-04-01,2
1966-07-01,2.1
1966-10-01,2.1
1967-01-01,2.1
1967-04-01,2.1
1967-07-01,2.1
1967-10-01,2.1
1968-01-01,2.1
1968-04-01,2.2
1968-07-01,2.2
1968-10-01,2.2
1969-01-01,2.2
1969-04-01,2.2
1969-07-01,2.2
1969-10-01,2.3
1970-01-01,2.3
1970-04-01,2.3
1970-07-01,2.4
1970-10-01,2.4
1971-01-01,2.4
1971-04-01,2.5
1971-07-01,2.5
1971-10-01,2.6
1972-01-01,2.6
1972-04-01,2.6
1972-07-01,2.7
1972-10-01,2.8
1973-01-01,2.8
1973-04-01,2.9
1973-07-01,2.9
1973-10-01,3
1974-01-01,3.1
1974-04-01,3.2
1974-07-01,3.3
1974-10-01,3.4
1975-01-01,3.5
1975-04-01,3.6
1975-07-01,3.7
1975-10-01,3.8
1976-01-01,3.9
1976-04-01,4
1976-07-01,4.2
1976-10-01,4.2
1977-01-01,4.3
1977-04-01,4.5
1977-07-01,4.6
1977-10-01,4.7
1978-01-01,4.8
1978-04-01,4.9
1978-07-01,5.2
1978-10-01,5.3
1979-01-01,5.4
1979-04-01,5.5
1979-07-01,5.9
1979-10-01,6
1980-01-01,6.1
1980-04-01,6.3
1980-07-01,6.6
1980-10-01,6.9
1981-01-01,7.1
1981-04-01,7.3
1981-07-01,7.6
1981-10-01,7.9
1982-01-01,8.1
1982-04-01,8.4
1982-07-01,8.7
1982-10-01,9
1983-01-01,9.2
1983-04-01,9.5
1983-07-01,9.7
1983-10-01,10
1984-01-01,10.2
1984-04-01,10.6
1984-07-01,10.9
1984-10-01,11.2
1985-01-01,11.7
1985-04-01,12.3
1985-07-01,12.7
1985-10-01,13.2
1986-01-01,14
1986-04-01,14.4
1986-07-01,15.1
1986-10-01,15.7
1987-01-01,16.3
1987-04-01,16.9
1987-07-01,17.5
1987-10-01,18.1
1988-01-01,18.5
1988-04-01,19.1
1988-07-01,19.7
1988-10-01,20.3
1989-01-01,21
1989-04-01,21.9
1989-07-01,22.7
1989-10-01,23.4
1990-01-01,24.2
1990-04-01,25
1990-07-01,25.8
1990-10-01,26.8
1991-01-01,27.7
1991-04-01,28.7
1991-07-01,29.8
1991-10-01,31.1
1992-01-01,32.1
1992-04-01,33.1
1992-07-01,34
1992-10-01,34.5
1993-01-01,35.1
1993-04-01,36.6
1993-07-01,37.2
1993-10-01,37.7
1994-01-01,38.5
1994-04-01,39.2
1994-07-01,40.6
1994-10-01,41.4
1995-01-01,42.3
1995-04-01,43.4
1995-07-01,43.7
1995-10-01,44.1
1996-01-01,45.1
1996-04-01,46
1996-07-01,47.1
1996-10-01,48.2
1997-01-01,49.4
1997-04-01,50.3
1997-07-01,51.1
1997-10-01,51.5
1998-01-01,52.1
1998-04-01,52.9
1998-07-01,55.1
1998-10-01,56.1
1999-01-01,56.6
1999-04-01,56.7
1999-07-01,56.9
1999-10-01,57.2
2000-01-01,58.1
2000-04-01,59.5
2000-07-01,60.7
2000-10-01,61.3
2001-01-01,62.5
2001-04-01,63.4
2001-07-01,63.6
2001-10-01,63.9
2002-01-01,69.3
2002-04-01,71.4
2002-07-01,73.4
2002-10-01,75.6
2003-01-01,76.8
2003-04-01,77.3
2003-07-01,76.6
2003-10-01,74.8
2004-01-01,74.9
2004-04-01,75.2
2004-07-01,75.4
2004-10-01,75.6
2005-01-01,76.3
2005-04-01,76.4
2005-07-01,76.7
2005-10-01,76.7
2006-01-01,77.1
2006-04-01,77.6
2006-07-01,78.8
2006-10-01,79.8
2007-01-01,80.7
2007-04-01,81.7
2007-07-01,83.2
2007-10-01,84.5
2008-01-01,86.6
2008-04-01,88
2008-07-01,90.1
2008-10-01,91.5
2009-01-01,93.9
2009-04-01,95.7
2009-07-01,97.2
2009-10-01,97.6
2010-01-01,98.8
2010-04-01,99.7
2010-07-01,100.6
2010-10-01,100.9
2011-01-01,101.8
2011-04-01,103.2
2011-07-01,104.5
2011-10-01,105.1
2012-01-01,106.5
2012-04-01,108.1
2012-07-01,109.4
2012-10-01,110.3
2013-01-01,112
2013-04-01,113.8
2013-07-01,114.9
2013-10-01,115.9
2014-01-01,117.8
2014-04-01,120
2014-07-01,121.6
2014-10-01,122.7
2015-01-01,125
2015-04-01,126.8
2015-07-01,128.1
2015-10-01,129
2016-01-01,131.8
2016-04-01,134
2016-07-01,135.5
2016-10-01,136.5
2017-01-01,138.6
2017-04-01,140.3
2017-07-01,141.5
